,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:20:27.490,3.94,-99.6287536539,16.8549425029,1.24319616308,0.294081723024,0.735785953177
2015-09-16 07:20:31.430,3.94,-96.0940413151,20.4669542196,1.10312912065,0.268506973528,0.627981651376
2015-09-16 07:20:35.370,4.02,-99.7088066455,15.6244446625,1.19802773888,0.302037552221,0.535161432994
2015-09-16 07:20:39.390,4.02,-89.535044857,24.2962686117,1.25029585255,0.261912328094,0.594833153929
2015-09-16 07:20:43.410,6.2,-95.5701916651,12.8289040255,1.2509760549,0.202960641153,0.687708333333
2015-09-16 07:20:49.610,3.94,-101.525927243,16.392215399,1.20521208962,0.34465245184,0.568510111432
2015-09-16 07:20:53.550,3.93,-99.1808221922,16.04049547,1.07352363548,0.301091573924,0.641339869281
2015-09-16 07:20:57.480,4.02,-94.9483885716,22.5632236072,1.19280067842,0.302105460001,0.673041709054
2015-09-16 07:21:01.500,3.94,-84.8325718412,29.7615255039,1.1396692489,0.3318042622,0.628166160081
2015-09-16 07:21:05.440,3.94,-95.1597290956,12.5297439027,1.19088252789,0.317480842474,0.522529804001
